P_lo,P_hi,A_lo,A_hi,Candidates,RecoveredTrials,InjectionTrials,Pij
5,15,0.0,0.02,32,122,32000,0.0038125
5,15,0.02,0.04,32,193,32000,0.006031249999999999
5,15,0.04,0.06,32,957,32000,0.02990625
5,15,0.06,0.08,32,2492,32000,0.077875
5,15,0.08,0.1,32,5428,32000,0.16962499999999997
5,15,0.1,0.12,32,7468,32000,0.233375
5,15,0.12,0.14,32,9729,32000,0.30403125
5,15,0.14,0.16,32,11474,32000,0.3585625
5,15,0.16,0.18,32,12699,32000,0.39684375
5,15,0.18,0.2,32,13825,32000,0.43203125
15,25,0.0,0.02,27,23,27000,0.0008518518518518518
15,25,0.02,0.04,27,245,27000,0.009074074074074075
15,25,0.04,0.06,27,1291,27000,0.04781481481481481
15,25,0.06,0.08,27,3020,27000,0.11185185185185187
15,25,0.08,0.1,27,6126,27000,0.22688888888888886
15,25,0.1,0.12,27,8416,27000,0.3117037037037037
15,25,0.12,0.14,27,10245,27000,0.3794444444444445
15,25,0.14,0.16,27,11793,27000,0.43677777777777776
15,25,0.16,0.18,27,13148,27000,0.48696296296296293
15,25,0.18,0.2,27,14275,27000,0.5287037037037037
25,35,0.0,0.02,23,920,23000,0.04000000000000001
25,35,0.02,0.04,23,1037,23000,0.045086956521739135
25,35,0.04,0.06,23,2225,23000,0.09673913043478262
25,35,0.06,0.08,23,4120,23000,0.17913043478260865
25,35,0.08,0.1,23,7511,23000,0.32656521739130434
25,35,0.1,0.12,23,9336,23000,0.4059130434782609
25,35,0.12,0.14,23,10288,23000,0.4473043478260869
25,35,0.14,0.16,23,11070,23000,0.48130434782608705
25,35,0.16,0.18,23,12117,23000,0.5268260869565218
25,35,0.18,0.2,23,13136,23000,0.5711304347826087
35,45,0.0,0.02,18,496,18000,0.027555555555555555
35,45,0.02,0.04,18,557,18000,0.03094444444444444
35,45,0.04,0.06,18,1646,18000,0.09144444444444445
35,45,0.06,0.08,18,3640,18000,0.20222222222222222
35,45,0.08,0.1,18,6475,18000,0.3597222222222222
35,45,0.1,0.12,18,8135,18000,0.4519444444444444
35,45,0.12,0.14,18,9127,18000,0.5070555555555556
35,45,0.14,0.16,18,9924,18000,0.5513333333333333
35,45,0.16,0.18,18,10740,18000,0.5966666666666667
35,45,0.18,0.2,18,11638,18000,0.6465555555555557
45,55,0.0,0.02,10,162,10000,0.0162
45,55,0.02,0.04,10,454,10000,0.0454
45,55,0.04,0.06,10,1365,10000,0.1365
45,55,0.06,0.08,10,3013,10000,0.3013
45,55,0.08,0.1,10,4844,10000,0.48440000000000005
45,55,0.1,0.12,10,5710,10000,0.571
45,55,0.12,0.14,10,6099,10000,0.6099
45,55,0.14,0.16,10,6454,10000,0.6454000000000001
45,55,0.16,0.18,10,6664,10000,0.6664000000000001
45,55,0.18,0.2,10,6769,10000,0.6769000000000001
55,65,0.0,0.02,8,0,8000,0.0
55,65,0.02,0.04,8,262,8000,0.03275
55,65,0.04,0.06,8,1125,8000,0.140625
55,65,0.06,0.08,8,2213,8000,0.276625
55,65,0.08,0.1,8,3751,8000,0.468875
55,65,0.1,0.12,8,4484,8000,0.5605
55,65,0.12,0.14,8,4792,8000,0.599
55,65,0.14,0.16,8,4927,8000,0.615875
55,65,0.16,0.18,8,4990,8000,0.62375
55,65,0.18,0.2,8,5000,8000,0.625
