X,MeanSumPij,MedianSumPij,P_sum_gt_3,PercentileOf3
3,0.5845404387278582,0.5559907407407407,0.0,1.0
4,0.8150526367954911,0.7780378421900158,0.0,1.0
5,0.969170140358293,0.9535281249999998,0.0,1.0
6,1.1494029730374395,1.1162871125201286,0.002,0.998
7,1.3664379660527375,1.352289019726248,0.007,0.993
8,1.5391408221215779,1.5123740136876005,0.011,0.989
9,1.733666574587359,1.6982104166666665,0.035,0.965
10,1.8956465038244765,1.8895463214573267,0.065,0.935
11,2.1258857544182765,2.12093961352657,0.124,0.876
12,2.319254363848631,2.3337385768921095,0.188,0.812
13,2.5405932825281803,2.5384436543880833,0.283,0.717
14,2.713775415992351,2.6893152526167476,0.358,0.642
15,2.938345184702093,2.9144948872785825,0.463,0.537
16,3.1700078994464573,3.1317280847423508,0.563,0.437
17,3.261783580515297,3.225035069444444,0.589,0.411
18,3.5198255496578095,3.5042989834943636,0.71,0.29
19,3.7063147702093393,3.6303137228260867,0.764,0.236
20,3.887643259017713,3.8726050171095006,0.812,0.188
21,4.0961619718297095,4.056024053945249,0.861,0.139
22,4.336419032799919,4.27657129126409,0.91,0.09
23,4.469149193991545,4.436572740539452,0.918,0.082
24,4.6776541415760855,4.6092918478260865,0.941,0.059
25,4.902431086584138,4.856898077697262,0.964,0.036
