Period,Amplitude,AmplitudeHigh,EligibleCandidates,RecoveredTrials,InjectionTrials,MeanRecoveryRate
10,0.01,0.03,33,9,330,0.02727272727272727
10,0.03,0.05,33,21,330,0.06363636363636363
10,0.05,0.07,33,33,330,0.1
10,0.07,0.09,33,57,330,0.17272727272727273
10,0.09,0.11,33,80,330,0.24242424242424243
10,0.11,0.13,33,105,330,0.3181818181818182
10,0.13,0.15,33,108,330,0.32727272727272727
10,0.15,0.17,33,124,330,0.37575757575757573
10,0.17,0.19,33,125,330,0.3787878787878788
10,0.19,0.21,33,145,330,0.4393939393939394
20,0.01,0.03,30,13,300,0.043333333333333335
20,0.03,0.05,30,24,300,0.08
20,0.05,0.07,30,38,300,0.12666666666666668
20,0.07,0.09,30,59,300,0.19666666666666666
20,0.09,0.11,30,82,300,0.2733333333333333
20,0.11,0.13,30,104,300,0.3466666666666667
20,0.13,0.15,30,105,300,0.35
20,0.15,0.17,30,119,300,0.39666666666666667
20,0.17,0.19,30,131,300,0.43666666666666665
20,0.19,0.21,30,138,300,0.46
30,0.01,0.03,26,14,260,0.05384615384615385
30,0.03,0.05,26,21,260,0.08076923076923077
30,0.05,0.07,26,33,260,0.12692307692307692
30,0.07,0.09,26,67,260,0.25769230769230766
30,0.09,0.11,26,87,260,0.3346153846153846
30,0.11,0.13,26,88,260,0.3384615384615385
30,0.13,0.15,26,109,260,0.41923076923076924
30,0.15,0.17,26,125,260,0.4807692307692308
30,0.17,0.19,26,121,260,0.4653846153846154
30,0.19,0.21,26,147,260,0.5653846153846154
40,0.01,0.03,19,13,190,0.06842105263157895
40,0.03,0.05,19,17,190,0.08947368421052632
40,0.05,0.07,19,25,190,0.13157894736842105
40,0.07,0.09,19,53,190,0.2789473684210526
40,0.09,0.11,19,80,190,0.42105263157894735
40,0.11,0.13,19,93,190,0.48947368421052634
40,0.13,0.15,19,101,190,0.531578947368421
40,0.15,0.17,19,100,190,0.5263157894736842
40,0.17,0.19,19,113,190,0.5947368421052631
40,0.19,0.21,19,122,190,0.6421052631578947
