Period,Amplitude,Detections,Candidates,Recovery,RecoveryFraction
10,0.01,0,33,0.8999999999999999,0.02727272727272727
10,0.03,1,33,2.1,0.06363636363636364
10,0.05,0,33,3.3000000000000003,0.1
10,0.07,0,33,5.699999999999999,0.1727272727272727
10,0.09,0,33,8.0,0.24242424242424243
10,0.11,2,33,10.5,0.3181818181818182
10,0.13,0,33,10.799999999999999,0.3272727272727272
10,0.15,0,33,12.4,0.3757575757575758
10,0.17,0,33,12.500000000000002,0.37878787878787884
10,0.19,0,33,14.5,0.4393939393939394
20,0.01,0,30,1.3,0.043333333333333335
20,0.03,0,30,2.4,0.08
20,0.05,0,30,3.8000000000000003,0.12666666666666668
20,0.07,0,30,5.8999999999999995,0.19666666666666666
20,0.09,0,30,8.2,0.2733333333333333
20,0.11,2,30,10.4,0.3466666666666667
20,0.13,0,30,10.500000000000002,0.35000000000000003
20,0.15,0,30,11.900000000000002,0.3966666666666667
20,0.17,0,30,13.100000000000001,0.4366666666666667
20,0.19,0,30,13.8,0.46
30,0.01,0,26,1.4000000000000001,0.05384615384615385
30,0.03,0,26,2.1,0.08076923076923077
30,0.05,0,26,3.3000000000000003,0.12692307692307694
30,0.07,0,26,6.7,0.2576923076923077
30,0.09,0,26,8.7,0.3346153846153846
30,0.11,2,26,8.799999999999999,0.3384615384615384
30,0.13,0,26,10.9,0.41923076923076924
30,0.15,0,26,12.5,0.4807692307692308
30,0.17,0,26,12.1,0.4653846153846154
30,0.19,0,26,14.7,0.5653846153846154
40,0.01,0,19,1.3,0.06842105263157895
40,0.03,0,19,1.7000000000000002,0.08947368421052633
40,0.05,0,19,2.5,0.13157894736842105
40,0.07,0,19,5.300000000000001,0.27894736842105267
40,0.09,0,19,8.0,0.42105263157894735
40,0.11,0,19,9.299999999999999,0.4894736842105263
40,0.13,0,19,10.1,0.531578947368421
40,0.15,0,19,10.0,0.5263157894736842
40,0.17,0,19,11.299999999999999,0.5947368421052631
40,0.19,0,19,12.200000000000001,0.6421052631578948
